id,sale_date,id_product,qtd,total,usd_price,usd_brl,custo_total_brl,resultado,prejuizo
1767,2023-01-03,1,1,33123.0,6538.2,5.3759,35148.70938,-2025.7093800000002,2025.7093800000002
6947,2023-01-12,1,7,220265.1,6538.2,5.14,235244.436,-14979.335999999981,14979.335999999981
5852,2023-01-16,1,2,62932.75,6538.2,5.1115,66840.01860000001,-3907.2686000000103,3907.2686000000103
9055,2023-01-25,1,3,94399.6,6538.2,5.1042,100116.84131999998,-5717.241319999972,5717.241319999972
1562,2023-01-26,1,8,264980.0,6538.2,5.0951,266502.26256,-1522.2625600000028,1522.2625600000028
5413,2023-01-29,1,9,283197.85,6538.2,5.0767,298732.31945999997,-15534.469459999993,15534.469459999993
3601,2023-01-29,1,12,377596.5,6538.2,5.0767,398309.75928,-20713.25928,20713.25928
8550,2023-02-18,1,5,157332.35,6538.2,5.2012,170032.4292,-12700.079200000007,12700.079200000007
5543,2023-03-02,1,2,62932.75,6360.91,5.208,66255.23856,-3322.488559999998,3322.488559999998
8129,2023-03-11,1,1,33123.0,6360.91,5.1822,32963.507802,159.49219799999992,0.0
5236,2023-03-24,1,8,251731.0,6360.91,5.2921,269300.57448799995,-17569.574487999955,17569.574487999955
2820,2023-04-27,1,13,409063.35,6360.91,5.015,414699.52745,-5636.177450000017,5636.177450000017
5329,2023-05-17,1,15,471996.1,6360.91,4.9513,472421.605245,-425.50524500000756,425.50524500000756
6924,2023-05-26,1,3,99368.0,6360.91,5.0114,95631.193122,3736.806878000003,0.0
3237,2023-06-02,1,13,409063.35,6360.91,4.9558,409804.17111399997,-740.8211139999912,740.8211139999912
7907,2023-06-04,1,9,298103.0,6360.91,4.9558,283710.580002,14392.419998000027,0.0
8520,2023-06-10,1,15,496838.0,6360.91,4.8922,466782.65852999996,30055.341470000043,0.0
3024,2023-06-24,1,13,430593.0,6360.91,4.7799,395258.6782169999,35334.32178300008,0.0
4682,2023-07-09,1,12,377596.5,6360.91,4.8799,372487.25650799996,5109.243492000038,0.0
6548,2023-07-13,1,5,157332.35,6360.91,4.8038,152782.69728999998,4549.652710000024,0.0
1938,2023-07-18,1,3,99368.0,6360.91,4.804,91673.43492,7694.56508,0.0
4676,2023-08-22,1,10,331225.0,6360.91,4.9431,314426.14221,16798.85778999998,0.0
4670,2023-08-30,1,15,496838.0,6360.91,4.8653,464216.031345,32621.968654999975,0.0
9636,2023-09-10,1,5,157332.35,6360.91,4.9835,158497.974925,-1165.6249249999819,1165.6249249999819
4348,2023-09-14,1,2,62932.75,6360.91,4.8751,62020.144682,912.6053180000017,0.0
1393,2023-09-14,1,15,471996.1,6360.91,4.8751,465151.08511499997,6845.014885000011,0.0
8907,2023-09-17,1,14,463715.0,6360.91,4.8689,433588.885786,30126.114214,0.0
8107,2023-09-23,1,1,33123.0,6360.91,4.9131,31251.786921,1871.213079000001,0.0
4824,2023-09-29,1,8,251731.0,6360.91,5.0076,254823.143328,-3092.1433280000056,3092.1433280000056
7013,2023-10-02,1,14,440529.25,6360.91,5.0679,451310.381046,-10781.131045999995,10781.131045999995
3417,2023-10-31,1,6,198735.0,6574.8,5.0575,199512.30599999998,-777.3059999999823,777.3059999999823
1522,2023-11-04,1,2,66245.0,6574.8,4.891,64314.6936,1930.3064000000013,0.0
9046,2023-11-11,1,4,132490.0,6574.8,4.9219,129442.03248000001,3047.967519999991,0.0
9762,2023-11-17,1,13,409063.35,6574.8,4.8849,417524.12676,-8460.776760000037,8460.776760000037
8547,2023-11-19,1,14,463715.0,6574.8,4.8849,449641.36728,14073.632719999994,0.0
2712,2023-11-21,1,3,94399.6,6574.8,4.8806,96266.90664000002,-1867.3066400000098,1867.3066400000098
6682,2023-12-13,1,14,440529.25,6574.8,4.958,456370.0176,-15840.767600000021,15840.767600000021
5515,2023-12-14,1,12,397470.0,6574.8,4.8912,385903.94112000003,11566.058879999968,0.0
7485,2023-12-15,1,4,125865.5,6574.8,4.9397,129910.15824,-4044.6582400000043,4044.6582400000043
1075,2023-12-17,1,12,377596.5,6574.8,4.9397,389730.47472,-12133.974719999998,12133.974719999998
1797,2023-12-17,1,6,198735.0,6574.8,4.9397,194865.23736,3869.762640000001,0.0
8284,2023-12-22,1,9,298103.0,6574.8,4.8619,287694.18108000007,10408.818919999932,0.0
1548,2024-01-02,1,2,66245.0,6574.8,4.8916,64322.583360000004,1922.4166399999958,0.0
439,2024-01-02,1,2,66245.0,6574.8,4.8916,64322.583360000004,1922.4166399999958,0.0
3009,2024-01-06,1,5,157332.35,6574.8,4.8899,160750.57259999998,-3418.222599999979,3418.222599999979
3376,2024-02-05,1,13,430593.0,6574.8,5.0053,427815.00372000004,2777.996279999963,0.0
9384,2024-02-15,1,15,496838.0,6574.8,4.971,490249.962,6588.0380000000005,0.0
